point_id,kind,tmfc,hf,var,value
seoul,temp,2026021700,0,t2m,272.314
seoul,temp,2026021700,0,tcld,0.0
seoul,temp,2026021700,6,t2m,276.702
seoul,temp,2026021700,6,tcld,0.0
seoul,temp,2026021700,12,t2m,272.285
seoul,temp,2026021700,12,tcld,0.0
seoul,temp,2026021700,18,t2m,273.267
seoul,temp,2026021700,18,tcld,0.0
seoul,temp,2026030500,0,t2m,276.475
seoul,temp,2026030500,0,tcld,0.964298
seoul,temp,2026030500,6,t2m,284.388
seoul,temp,2026030500,6,tcld,0.894339
seoul,temp,2026030500,12,t2m,275.227
seoul,temp,2026030500,12,tcld,1.0
seoul,temp,2026030500,18,t2m,273.427
seoul,temp,2026030500,18,tcld,0.999997
seoul,temp,2026032100,0,t2m,277.73
seoul,temp,2026032100,0,tcld,0.0
seoul,temp,2026032100,6,t2m,284.683
seoul,temp,2026032100,6,tcld,0.0
seoul,temp,2026032100,12,t2m,276.205
seoul,temp,2026032100,12,tcld,0.0982412
seoul,temp,2026032100,18,t2m,273.589
seoul,temp,2026032100,18,tcld,0.999759
seoul,temp,2026040700,0,t2m,278.466
seoul,temp,2026040700,0,tcld,0.0
seoul,temp,2026040700,6,t2m,283.45
seoul,temp,2026040700,6,tcld,0.0
seoul,temp,2026040700,12,t2m,277.257
seoul,temp,2026040700,12,tcld,0.0
seoul,temp,2026040700,18,t2m,273.518
seoul,temp,2026040700,18,tcld,0.0
seoul,temp,2026042300,0,t2m,286.978
seoul,temp,2026042300,0,tcld,0.864631
seoul,temp,2026042300,6,t2m,294.127
seoul,temp,2026042300,6,tcld,0.90272
seoul,temp,2026042300,12,t2m,285.606
seoul,temp,2026042300,12,tcld,0.999973
seoul,temp,2026042300,18,t2m,278.986
seoul,temp,2026042300,18,tcld,0.582451
seoul,temp,2026050900,0,t2m,287.278
seoul,temp,2026050900,0,tcld,0.0
seoul,temp,2026050900,6,t2m,293.349
seoul,temp,2026050900,6,tcld,0.653381
seoul,temp,2026050900,12,t2m,284.699
seoul,temp,2026050900,12,tcld,0.142894
seoul,temp,2026050900,18,t2m,281.434
seoul,temp,2026050900,18,tcld,0.0
seoul,temp,2026052500,0,t2m,295.954
seoul,temp,2026052500,0,tcld,0.675203
seoul,temp,2026052500,6,t2m,302.351
seoul,temp,2026052500,6,tcld,0.852213
seoul,temp,2026052500,12,t2m,295.8
seoul,temp,2026052500,12,tcld,1.0
seoul,temp,2026052500,18,t2m,293.308
seoul,temp,2026052500,18,tcld,1.0
seoul,temp,2026061000,0,t2m,294.336
seoul,temp,2026061000,0,tcld,0.195306
seoul,temp,2026061000,6,t2m,297.218
seoul,temp,2026061000,6,tcld,0.0
seoul,temp,2026061000,12,t2m,290.262
seoul,temp,2026061000,12,tcld,0.146793
seoul,temp,2026061000,18,t2m,287.683
seoul,temp,2026061000,18,tcld,0.193221
seoul,temp,2026062600,0,t2m,295.3
seoul,temp,2026062600,0,tcld,0.977586
seoul,temp,2026062600,6,t2m,301.281
seoul,temp,2026062600,6,tcld,0.0184122
seoul,temp,2026062600,12,t2m,295.481
seoul,temp,2026062600,12,tcld,0.995715
seoul,temp,2026062600,18,t2m,291.353
seoul,temp,2026062600,18,tcld,0.759108
seoul,temp,2026071300,0,t2m,301.5
seoul,temp,2026071300,0,tcld,0.85
seoul,temp,2026071300,6,t2m,306.28
seoul,temp,2026071300,6,tcld,0.28
seoul,temp,2026071300,12,t2m,300.7
seoul,temp,2026071300,12,tcld,0.41
seoul,temp,2026071300,18,t2m,298.94
seoul,temp,2026071300,18,tcld,1.0
seoul,temp,2026072900,0,t2m,299.2
seoul,temp,2026072900,0,tcld,1.0
seoul,temp,2026072900,6,t2m,305.24
seoul,temp,2026072900,6,tcld,0.83
seoul,temp,2026072900,12,t2m,299.35
seoul,temp,2026072900,12,tcld,1.0
seoul,temp,2026072900,18,t2m,298.07
seoul,temp,2026072900,18,tcld,1.0
seoul,temp,2026081400,0,t2m,300.13
seoul,temp,2026081400,0,tcld,1.0
seoul,temp,2026081400,6,t2m,301.94
seoul,temp,2026081400,6,tcld,1.0
seoul,temp,2026081400,12,t2m,298.15
seoul,temp,2026081400,12,tcld,1.0
seoul,temp,2026081400,18,t2m,296.46
seoul,temp,2026081400,18,tcld,1.0
seoul,sun,2026021700,4,dswrsfc,644.944
seoul,sun,2026021700,4,rss,576.355
seoul,sun,2026021700,0,ps,101557.0
seoul,sun,2026030500,4,dswrsfc,702.342
seoul,sun,2026030500,4,rss,627.603
